ID,Row,Column,Easting,Northing,RowCol,Sand,Silt,Clay,SoilpH,SoilTOC,SoilTN,SoilP,SoilK,CropDens,Weeds,Disease,SPAD,GrainProt,LeafN,FLN,EM38F425,EM38B425,EM38F520,EM38B520
76,12,2,592111.943,4270433.143,12b,42.3,32.93,24.77,5.95,0.811,0.067,5.99,123,4,1,1,43.8,14.3724,4.383,3.729,53,60,64,69
77,12,3,592172.943,4270433.143,12c,41.18,34.21,24.61,5.79,0.84,0.068,6.39,156.8,4,2,2,42.3,14.4826,4.026,3.784,57,68,68,75
78,12,4,592233.943,4270433.143,12d,35.97,37.57,26.46,5.89,0.966,0.075,6.03,150.3,4,3,2,42.5,13.775,4.288,3.548,49,55,62,68
79,12,5,592294.943,4270433.143,12e,32.54,39.17,28.29,5.71,1.088,0.086,7.53,155.2,3,3,3,40.1,13.8156,3.932,3.4,50,60,64,69
80,12,6,592355.943,4270433.143,12f,30.34,41.86,27.81,5.65,1.179,0.094,13.36,190.5,3,2,2,39.1,14.8886,3.657,3.229,63,72,75,84
81,13,1,592050.943,4270372.143,13a,44.29,32.51,23.2,5.97,0.484,0.047,4.31,87.7,4,4,1,46.4,13.572,4.808,4.008,47,51,57,61
82,13,2,592111.943,4270372.143,13b,41.09,35.01,23.9,5.99,0.535,0.049,3.47,95.7,5,2,1,47.1,13.746,4.451,3.885,49,58,63,70
83,13,3,592172.943,4270372.143,13c,36.48,36.67,26.85,6,0.628,0.057,4.38,98.9,5,2,1,43.7,13.862,4.424,3.741,55,63,64,72
84,13,4,592233.943,4270372.143,13d,36.06,36.67,27.26,5.91,0.758,0.066,6.05,116.6,4,1,2,46.1,13.9896,3.653,3.889,45,55,60,67
85,13,5,592294.943,4270372.143,13e,36.19,36.96,26.85,5.74,0.864,0.076,10.25,129.5,3,1,2,44,14.4478,4.294,3.825,46,55,58,64
86,13,6,592355.943,4270372.143,13f,31.71,39.97,28.32,5.7,0.986,0.083,7.85,155.2,3,2,2,42.3,13.775,4.306,3.428,47,54,58,62
