Easting,Northing,Moisture,Yield
592169.625,4267864.500,10.5,5294
592169.625,4267864.500,10.8,5436
592170.313,4267864.500,10.7,4506
592171.000,4267864.500,10.9,5534
592171.625,4267864.500,10.5,4101
592172.313,4267864.500,10.4,5162
592173.000,4267864.500,10.6,5112
592173.000,4267864.500,10.6,4530
592173.625,4267864.500,10.5,4644
592174.313,4267864.500,10.2,5308
592174.938,4267864.500,10.3,5145
592175.625,4267864.500,10.5,5879
592176.313,4267864.500,10.7,5160
592176.313,4267864.500,10.3,5123
592176.938,4267864.500,10.3,6409
592177.625,4267864.500,10.5,3657
592178.313,4267864.500,10.6,4085
592178.938,4267864.500,10.6,4442
592179.625,4267864.500,10.2,4785
592179.625,4267864.500,10.3,5751
592180.313,4267864.500,10.6,5066
592180.938,4267864.500,10.5,5688
592181.625,4267864.500,10.7,5914
592182.250,4267864.500,10.5,4184
592182.250,4267864.500,10.7,7383
592182.938,4267864.500,10.8,6584
592183.625,4267864.500,10.7,5200
592184.250,4267864.500,10.6,6009
592184.938,4267864.500,10.5,4785
592185.625,4267864.500,10.6,5604
592185.625,4267864.500,10.8,4982
592186.250,4267864.500,10.6,4509
592186.938,4267864.500,10.6,4303
592187.625,4267864.500,10.6,5599
592188.250,4267864.500,10.8,4464
592188.938,4267864.500,10.9,6511
592189.563,4267864.500,10.6,6553
592190.250,4267864.500,10.3,5347
592190.250,4267864.500,10.7,6005
592190.938,4267864.500,10.7,5410
592191.563,4267864.500,10.8,5352
592192.250,4267864.500,10.7,5867
592192.938,4267864.500,10.3,5638
592193.563,4267864.500,10.6,5419
592193.563,4267864.500,10.7,5513
592194.250,4267865.000,10.7,4788
592194.938,4267865.000,10.6,6046
592195.563,4267865.000,10.4,4536
592196.250,4267865.000,10.8,4756
592196.250,4267865.000,10.8,6224
592196.875,4267865.000,10.8,5205
592197.563,4267865.000,10.6,5678
592198.250,4267865.000,10.3,6018
592198.875,4267865.000,10.8,5227
592199.563,4267865.000,10.8,5932
592200.250,4267865.000,10.7,6847
592200.250,4267865.000,10.5,5210
592200.875,4267865.000,10.5,5751
592201.563,4267865.000,10.8,5983
592202.250,4267865.000,10.8,5351
592202.875,4267865.000,10.6,5209
592203.563,4267865.000,10.4,5553
592203.563,4267865.000,10.7,6304
592204.250,4267865.000,10.6,6365
592204.875,4267865.000,10.8,5532
592205.563,4267865.000,10.6,6115
592206.188,4267865.000,10.8,6235
592206.875,4267865.000,10.8,6485
592206.875,4267865.000,10.8,7156
592208.188,4267865.000,10.7,5732
592208.188,4267865.000,10.5,6017
592208.875,4267865.000,10.6,6442
592209.563,4267865.000,10.8,6145
592210.188,4267865.000,10.8,6046
592210.875,4267865.000,10.6,5766
592210.875,4267865.000,10.6,6431
592211.563,4267865.000,10.7,5919
592212.188,4267865.000,10.8,6374
592212.875,4267865.000,10.8,7381
592213.500,4267865.000,10.7,6974
592214.188,4267865.000,10.6,5680
592214.188,4267865.000,10.8,5877
592214.875,4267865.000,10.8,4836
592215.500,4267865.000,10.8,6189
592216.188,4267865.000,10.5,5723
592216.875,4267865.000,10.5,4724
592217.500,4267865.000,10.6,4142
592218.188,4267865.000,10.6,4372
592218.188,4267865.000,10.7,4179
592218.875,4267865.000,10.4,4000
592219.500,4267865.000,10.3,4618
592220.188,4267865.000,10.6,4670
592220.813,4267865.000,10.6,5472
592221.500,4267865.000,10.7,5136
592221.500,4267865.000,10.3,5347
592222.188,4267865.000,10.5,5796
592222.813,4267865.000,10.6,4332
592223.500,4267865.000,10.6,5367
592224.188,4267865.000,10.4,4216
592224.813,4267865.000,10.2,2530
592224.813,4267865.000,10.3,3876
592225.500,4267865.000,10.4,3620
592226.188,4267865.000,10.3,3739
592226.813,4267865.000,10.3,4004
592227.500,4267865.000,10.1,3769
592228.125,4267865.000,10.5,4423
592228.125,4267865.000,10.4,5452
592228.813,4267865.000,10.6,4342
592229.500,4267865.000,10.3,6387
592230.125,4267865.000,10.3,5970
592230.813,4267865.000,10.6,5721
592231.500,4267865.000,10.6,6427
592232.125,4267865.000,10.6,5490
592232.125,4267865.000,10.4,5705
592232.813,4267865.000,10.4,6655
592233.500,4267865.000,10.6,5573
592234.125,4267865.000,10.7,7358
592234.813,4267865.000,10.7,5345
592235.438,4267865.000,10.4,5496
592235.438,4267865.000,10.6,5977
592236.125,4267865.000,10.7,5457
592236.813,4267865.000,10.4,4786
592237.438,4267865.000,10.3,5485
592238.125,4267865.500,10.5,5957
592238.813,4267865.500,10.8,6322
592238.813,4267865.500,10.7,6745
592239.438,4267865.500,10.4,6069
592240.125,4267865.500,10.5,7622
592240.813,4267865.500,10.6,4911
592241.438,4267865.500,10.7,5291
592242.125,4267865.500,10.3,5890
592242.750,4267865.500,10.4,3350
592242.750,4267865.500,10.7,3481
592243.438,4267865.500,10.7,3913
592244.125,4267865.500,10.7,3344
592244.750,4267865.500,10.3,4097
592245.438,4267865.500,10.6,3634
592246.125,4267865.500,10.7,4576
592246.125,4267865.500,10.7,5303
592246.750,4267865.500,10.7,4880
592247.438,4267865.500,10.3,6376
592248.125,4267865.500,10.6,5173
592248.750,4267865.500,10.7,6135
592249.438,4267865.500,10.7,7136
592250.063,4267865.500,10.7,6388
592250.063,4267865.500,10.3,7533
592250.750,4267865.500,10.6,7776
592251.438,4267865.500,10.7,6745
592252.063,4267865.500,10.8,6528
592252.750,4267865.500,10.7,7031
592252.750,4267865.500,10.4,6919
592253.438,4267865.500,10.7,7884
592254.063,4267865.500,10.7,6856
592254.750,4267865.500,10.8,6022
592255.438,4267865.500,10.4,6740
592256.063,4267865.500,10.3,6552
592256.750,4267865.500,10.8,8476
