Easting,Northing,Yield,Moisture,Time
592314.6875,4267567,15343,15.5,936477569
592314.75,4267564.5,16765,16,936477571
592314.75,4267562.5,16559,16,936477573
592314.75,4267560,16462,16.1,936477575
592314.8125,4267558,14884,15.2,936477577
592314.8125,4267555.5,14718,15.7,936477579
592314.875,4267553.5,14687,15.9,936477581
592314.875,4267550.5,16488,15.8,936477583
592314.9375,4267548.5,15692,15.5,936477585
592314.9375,4267546,15520,15.7,936477587
592314.9375,4267544,14922,16,936477589
592315,4267541.5,14629,15.1,936477591
592315,4267539,14113,15.4,936477593
592315.0625,4267537,13022,16,936477595
592315.0625,4267534,16303,15.7,936477597
592315.125,4267531.5,15837,16.4,936477599
592315.125,4267529.5,15067,16,936477601
592315.1875,4267527,15355,16,936477603
592315.1875,4267524.5,15667,16.3,936477605
592315.1875,4267522,14392,16.6,936477607
592315.25,4267519.5,15590,15.8,936477609
592315.25,4267517.5,16249,16.1,936477611
592315.3125,4267515,12935,16,936477613
592315.3125,4267512,13185,15.7,936477615
592315.375,4267510,12971,15.6,936477617
592315.375,4267507.5,12831,15,936477619
592315.4375,4267505,12596,15.1,936477621
592315.4375,4267502.5,13714,15,936477623
592315.4375,4267500.5,13288,15.3,936477625
592315.5,4267497.5,13452,15.4,936477627
592315.5,4267495.5,13275,15.3,936477629
592315.5625,4267492.5,11364,14.8,936477631
592315.5625,4267490,11832,15.7,936477633
592315.625,4267487.5,9657,16.1,936477635
592315.625,4267485,3525,16.4,936477637
592600.25,4267483.5,612,16.5,936477993
592600.25,4267484,3122,16.5,936477995
592600.25,4267484,713,16.5,936477997
592600.25,4267485,967,16.5,936477999
592600.25,4267485.5,9785,16.1,936478001
592600.875,4267486.5,11632,16,936478003
592600.875,4267487,17776,16.4,936478005
592600.875,4267488,13095,16.2,936478007
592600.1875,4267489.5,11959,17.1,936478011
592600.125,4267491,13384,16.9,936478013
592600.8125,4267492,15616,17.2,936478015
592600.8125,4267493,12197,17,936478017
592600.8125,4267494.5,15290,17.2,936478021
592600.75,4267495.5,24032,16.8,936478023
592600.75,4267497.5,15351,15.9,936478025
592600.75,4267499.5,14438,17.3,936478027
592600.6875,4267501,14147,16.5,936478029
592600.6875,4267503.5,14375,16.7,936478031
592600.625,4267505.5,14893,16.5,936478033
592600.625,4267508,15652,16.9,936478035
592600.625,4267510,15540,16.6,936478037
592600.5625,4267512.5,16353,16.1,936478039
592600.5625,4267514.5,16392,16.7,936478041
592600.5,4267517,15124,16.4,936478043
592600.5,4267519.5,15253,17.2,936478045
592600.4375,4267521.5,16341,17.2,936478047
592600.4375,4267524,17023,17.2,936478049
592600.4375,4267526,15495,16.4,936478051
592600.375,4267528.5,16205,16.8,936478053
592600.375,4267531,15228,17.6,936478055
592600.3125,4267533.5,17251,16.4,936478057
592600.3125,4267536,16238,16.7,936478059
592600.25,4267538.5,16799,16.6,936478061
592600.25,4267541,16115,16.8,936478063
592600.1875,4267543.5,15672,17.1,936478065
592600.1875,4267545.5,15775,16.3,936478067
592600.1875,4267548,16398,16.2,936478069
592600.125,4267550.5,15172,17.1,936478071
592600.125,4267553,16311,16.9,936478073
592600.0625,4267555.5,14953,16.2,936478075
592600.0625,4267558,15245,17.2,936478077
592600,4267560.5,15708,17.1,936478079
592600,4267562.5,14026,16.5,936478081
592599.9375,4267565,15085,16.2,936478083
592599.9375,4267567.5,15973,17.4,936478085
592599.875,4267570,16078,17.3,936478087
592599.875,4267572,16398,17.4,936478089
592599.875,4267575,16146,17,936478091
592599.8125,4267577.5,16896,16.7,936478093
592599.8125,4267579.5,16146,17.4,936478095
592599.75,4267582,16311,16.7,936478097
592599.75,4267584.5,16102,16.5,936478099
592599.6875,4267586.5,16417,16.8,936478101
592599.6875,4267589.5,16410,16.7,936478103
592599.6875,4267591.5,15770,17,936478105
592599.625,4267594.5,16176,16.9,936478107
592599.625,4267597,14993,16.2,936478109
592599.5625,4267599.5,16448,16.9,936478111
592599.5625,4267601.5,15935,17.2,936478113
592599.5,4267604,15966,16.5,936478115
592599.5,4267606.5,15812,17.1,936478117
592599.4375,4267609,15861,16.7,936478119
592599.4375,4267611.5,15916,16.3,936478121
592599.375,4267613.5,16185,17.4,936478123
592599.375,4267616.5,16368,17.1,936478125
592600,4267618.5,16844,17.4,936478127
592600,4267621,15086,16.8,936478129
592599.9375,4267623.5,15307,16.3,936478131
592599.9375,4267626,15812,16.6,936478133
592599.875,4267628,14568,16.9,936478135
592599.875,4267630.5,13496,17.2,936478137
592599.8125,4267633,16084,16.9,936478139
592599.8125,4267635.5,16118,16.7,936478141
592599.125,4267638.5,15977,16.6,936478143
592599.75,4267640.5,15752,16.8,936478145
592599.75,4267643,15587,16.6,936478147
592599.6875,4267645.5,15040,17,936478149
592599.6875,4267648,16026,16.5,936478151
592599.625,4267650.5,15752,16.7,936478153
592599.625,4267652.5,16075,17,936478155
592599.5625,4267655.5,15587,17.1,936478157
592599.5625,4267658,15860,17.3,936478159
592599.5,4267660.5,16106,16.8,936478161
592599.5,4267663,16477,17.3,936478163
592599.5,4267665.5,15602,16.8,936478165
592599.4375,4267668,15976,16.7,936478167
592599.4375,4267670.5,15662,17,936478169
592599.375,4267672.5,16247,16.9,936478171
592599.375,4267675,15637,16.7,936478173
592599.3125,4267677.5,14726,16.7,936478175
592599.3125,4267680,14419,17.3,936478177
592599.25,4267682.5,15553,16.5,936478179
592599.25,4267685.5,16224,16.4,936478181
592599.1875,4267688,15371,17.6,936478183
592599.1875,4267690.5,15448,17.5,936478185
592599.125,4267693,15896,16.2,936478187
592599.125,4267695,14456,16.3,936478189
592599.125,4267697.5,15436,17,936478191
592599.0625,4267700,14748,16.2,936478193
592599.0625,4267702.5,14880,15.4,936478195
592599,4267705,15635,15.6,936478197
592599,4267707.5,15418,15.9,936478199
592598.9375,4267710,14907,16,936478201
592598.9375,4267713,15023,16.3,936478203
592598.875,4267715.5,14805,16,936478205
592598.875,4267718,15016,16,936478207
592598.8125,4267720.5,13658,16.1,936478209
592598.8125,4267723,14232,15.3,936478211
592598.75,4267725.5,14279,16.3,936478213
592598.75,4267728,15683,16,936478215
592598.6875,4267730.5,13927,15.9,936478217
592598.6875,4267733,15150,15.8,936478219
592598.625,4267736,15145,16.2,936478221
