Easting,Northing,Yield,Moisture,Time
592187.5938,4270382.79,6866.309065,10.6,838234105
592188.7262,4270382.803,6444.266427,10.6,838234106
592189.7715,4270382.815,6696.486109,10.7,838234107
592190.9039,4270382.828,6377.605818,10.7,838234108
592192.0363,4270382.841,6244.684055,10.9,838234109
592193.0816,4270382.853,6212.328179,10.9,838234110
592194.214,4270382.866,6508.923708,10.9,838234111
592195.3464,4270382.879,5824.057667,10.9,838234112
592196.3917,4270382.891,6012.800277,10.9,838234113
592197.5241,4270382.904,5926.517941,10.9,838234114
592198.5694,4270382.916,6444.211956,10.9,838234115
592199.7018,4270382.93,6713.844256,10.9,838234116
592200.8342,4270382.943,6680.271857,10.7,838234117
592201.8795,4270382.955,6931.92867,10.8,838234118
592203.0119,4270382.968,6948.124765,10.8,838234119
592204.1443,4270382.981,6258.701303,10.7,838234120
592205.1896,4270382.993,6999.152148,10.7,838234121
592206.322,4270383.006,6404.454053,10.4,838234122
592207.4544,4270383.019,7255.886884,10.6,838234123
592208.4997,4270383.031,6599.200596,10.7,838234124
592209.6321,4270383.044,6007.407631,10.9,838234125
592210.6774,4270383.056,6287.825222,10.9,838234126
592211.8098,4270383.069,7290.857376,10.9,838234127
592212.9422,4270383.082,6635.000261,10.8,838234128
592213.9875,4270383.094,6406.463434,10.9,838234129
592215.1199,4270383.107,6883.340385,10.8,838234130
592216.2524,4270383.12,6413.653629,10.8,838234131
592217.2977,4270383.132,6534.343588,10.7,838234132
592218.4301,4270383.145,6473.142201,10.5,838234133
592219.5625,4270383.158,6453.272328,10.7,838234134
592220.6078,4270383.17,6197.705695,10.8,838234135
592221.7402,4270383.183,6267.888774,10.8,838234136
592222.7855,4270383.196,5775.523854,10.9,838234137
592223.9179,4270383.209,6286.154773,11,838234138
592225.0503,4270383.222,5392.645988,10.9,838234139
592226.1827,4270383.235,5868.636874,10.9,838234140
592227.228,4270383.247,5451.965094,10.9,838234141
592228.3604,4270383.26,5581.388598,10.9,838234142
592229.4928,4270383.273,5516.676846,10.9,838234143
592230.5381,4270383.285,5176.940149,10.9,838234144
592231.6705,4270383.298,5814.398113,10.8,838234145
592232.8029,4270383.311,5830.594208,10.8,838234146
592233.8482,4270383.323,4394.540449,10.8,838234147
592234.9806,4270383.336,4654.016902,11,838234148
592236.0259,4270383.348,5280.441427,10.7,838234149
592237.1583,4270383.361,6446.045819,10.8,838234150
592238.2907,4270383.374,5915.732649,10.9,838234151
592239.336,4270383.386,6131.438489,10.9,838234152
592240.4684,4270383.399,6031.586779,11.1,838234153
592241.6008,4270383.412,6435.127375,11.1,838234154
592242.6461,4270383.424,6237.67543,11,838234155
592243.7785,4270383.437,7032.367458,11.1,838234156
592244.9109,4270383.451,6406.463434,10.9,838234157
592245.9562,4270383.463,7093.88962,10.8,838234158
592247.0886,4270383.476,6705.183339,10.8,838234159
592248.1339,4270383.488,7145.080416,10.7,838234160
592249.2663,4270383.501,6891.057134,10.7,838234161
592250.3988,4270383.514,6426.248574,10.7,838234162
592251.444,4270383.526,5950.630513,10.7,838234163
592252.5765,4270383.539,6091.154031,10.7,838234164
592253.7089,4270383.552,6589.813398,10.9,838234165
592254.7542,4270383.564,6715.91416,11.3,838234166
592255.8866,4270383.577,6381.321962,11.1,838234167
592257.019,4270383.59,6643.739858,10.9,838234168
592258.0643,4270383.602,7150.648581,10.9,838234169
592259.1967,4270383.615,6454.997248,10.9,838234170
592260.3291,4270383.628,6674.867106,10.7,838234171
592261.3744,4270383.64,6874.842882,10.7,838234172
592262.5068,4270383.653,6999.152148,10.7,838234173
592263.5521,4270383.665,6747.271398,10.6,838234174
592264.6845,4270383.678,6923.485638,10.7,838234175
592265.8169,4270383.692,6264.106053,10.7,838234176
592266.8622,4270383.704,6740.807486,10.9,838234177
592267.9946,4270383.717,7347.628442,10.8,838234178
592269.127,4270383.73,6481.960478,10.9,838234179
592270.1723,4270383.742,7096.722121,10.9,838234180
592271.3047,4270383.755,6332.673154,10.8,838234181
592272.4371,4270383.768,6359.666645,10.8,838234182
592273.4824,4270383.78,5961.440015,10.7,838234183
592274.6148,4270383.793,6172.225292,10.7,838234184
592275.6601,4270383.805,6193.844294,10.7,838234185
592276.7925,4270383.818,6105.927823,10.8,838234186
592277.9249,4270383.831,6266.254639,10.9,838234187
592278.9702,4270383.843,6167.649713,11,838234188
592280.1026,4270383.856,6467.410623,11.1,838234189
592281.235,4270383.869,6158.401719,10.9,838234190
592282.2803,4270383.881,6325.573744,10.9,838234191
592283.4127,4270383.894,6309.395806,10.9,838234192
592284.5451,4270383.907,6397.457534,10.8,838234193
592285.5904,4270383.92,6258.701303,10.7,838234194
592286.7229,4270383.933,6019.54865,10.8,838234195
592287.7681,4270383.945,6566.772092,10.7,838234196
592288.9006,4270383.958,6050.548799,10.9,838234197
592290.033,4270383.971,5845.628251,10.9,838234198
592291.0783,4270383.983,5677.469692,11,838234199
592292.2107,4270383.996,5817.521127,11,838234200
592293.3431,4270384.009,5980.444401,10.9,838234201
592294.3884,4270384.021,6223.113471,10.9,838234202
592295.5208,4270384.034,6196.150241,10.9,838234203
592296.6532,4270384.047,5734.440485,10.7,838234204
592297.6985,4270384.059,6285.725056,10.7,838234205
592298.8309,4270384.072,5599.321718,10.7,838234206
592299.9633,4270384.085,6240.895282,10.8,838234207
592301.0086,4270384.097,6109.867905,10.9,838234208
592302.141,4270384.11,6492.74577,10.9,838234209
592303.1863,4270384.122,6453.139176,11,838234210
592304.3187,4270384.136,5763.655191,11,838234211
592305.4511,4270384.149,6460.389894,10.9,838234212
592306.4964,4270384.161,6138.320013,10.8,838234213
592307.6288,4270384.174,6058.725527,10.7,838234214
592308.7612,4270384.187,6417.212412,10.6,838234215
592309.8065,4270384.199,6211.601896,10.6,838234216
592310.9389,4270384.212,6572.176843,10.7,838234217
592312.0713,4270384.225,6334.367812,10.7,838234218
592313.1166,4270384.237,6118.177785,10.7,838234219
592314.249,4270384.25,5814.398113,10.8,838234220
592315.2943,4270384.262,6503.531062,10.9,838234221
592316.4267,4270384.275,6030.346047,10.8,838234222
592317.5591,4270384.288,5804.702244,10.7,838234223
592318.6044,4270384.3,5859.899698,10.6,838234224
592319.7368,4270384.313,6449.67723,10.6,838234225
592320.8692,4270384.326,6173.726275,10.6,838234226
592321.9145,4270384.338,5702.011981,10.7,838234227
592323.047,4270384.352,5653.369225,10.7,838234228
592324.1794,4270384.365,5149.976919,10.9,838234229
592325.2247,4270384.377,4057.38753,11,838234230
592326.1828,4270384.388,3108.021386,11.1,838234231
592327.141,4270384.399,2992.684654,11.1,838234232
592328.0992,4270384.41,3208.501723,11.1,838234233
592329.0574,4270384.421,3270.802728,11.1,838234234
