Longitude,Latitude,ECto30,ECto100,Easting,Northing
-121.941362,38.554473,30.7,53,592242.75,4267869
-121.94134,38.554473,31.8,54.3,592244.75,4267869
-121.941327,38.554474,30.6,53.4,592245.375,4267869
-121.941313,38.554474,31.5,52.7,592246.75,4267869
-121.9413,38.554475,30.2,57.3,592248.063,4267869
-121.941292,38.554475,29.7,55.5,592248.688,4267869
-121.941285,38.554476,28.1,53,592249.375,4267869.5
-121.941269,38.554476,26.7,48.2,592250.688,4267869.5
-121.940963,38.554474,29.3,56.7,592277.313,4267869.5
-121.940951,38.554473,29.2,56.7,592278.625,4267869.5
-121.940944,38.554472,29.3,56.7,592279.313,4267869.5
-121.940934,38.554473,32.5,57.6,592279.938,4267869.5
-121.940928,38.554473,33.1,57.9,592280.625,4267869.5
-121.94082,38.55447,30.1,50.2,592289.938,4267869
-121.940809,38.554469,30.2,54.9,592290.625,4267869
-121.940744,38.554468,31.3,55.6,592296.563,4267869
-121.94073,38.554467,28.2,53,592297.938,4267869
-121.940719,38.554467,27.1,52,592298.563,4267869
-121.940665,38.554466,28.1,50.9,592303.25,4267869
-121.940647,38.554466,29.7,54.3,592305.25,4267869
-121.940626,38.554466,29.6,49.6,592306.563,4267869
-121.940605,38.554466,29.2,53.1,592308.563,4267869
-121.940591,38.554467,29.4,52.4,592309.875,4267869
-121.940581,38.554467,21.6,35.7,592310.563,4267869
-121.94053,38.554466,29,58,592315.188,4267869
-121.940443,38.554464,30.7,57,592322.5,4267869
-121.940442,38.554464,30.7,57.1,592322.5,4267869
-121.940443,38.554464,30.8,57.2,592322.5,4267869
-121.940443,38.554464,34.6,46.6,592322.5,4267869
-121.940307,38.55446,27.1,-25,592334.5,4267868.5
-121.940298,38.55446,25.7,-25,592335.188,4267868.5
-121.940244,38.554459,32.3,57.1,592339.813,4267868.5
-121.940231,38.554458,32.2,58.9,592341.125,4267868.5
-121.94022,38.554458,30.1,58.2,592341.813,4267868.5
-121.940206,38.554458,30.5,62.1,592343.125,4267868.5
-121.940199,38.554457,34.1,64.3,592343.813,4267868.5
-121.940191,38.554457,33.6,63.1,592344.438,4267868.5
-121.940175,38.554456,32.5,63.8,592345.813,4267868
-121.940159,38.554456,34.2,59.1,592347.125,4267868
-121.940152,38.554456,33.6,61.4,592347.813,4267868
-121.940142,38.554457,35.8,66.9,592349.125,4267868.5
-121.940126,38.554458,37,69.6,592350.438,4267868.5
-121.940113,38.554458,36.2,69.6,592351.75,4267868.5
-121.940106,38.554458,34.5,66.4,592351.75,4267868.5
-121.940096,38.554457,35.2,66.4,592353.125,4267868.5
-121.940083,38.554457,31.5,64.2,592353.75,4267868.5
-121.94007,38.554458,27.6,60,592355.125,4267868.5
-121.940062,38.554458,31.2,65.8,592355.75,4267868.5
-121.940053,38.554458,31.7,63.3,592356.438,4267868.5
-121.940039,38.554458,32.5,61.1,592357.75,4267869
-121.940023,38.554459,32.5,56.6,592359.063,4267869
-121.940012,38.554459,29.5,55.6,592360.438,4267869
-121.940006,38.554459,30.8,60.9,592361.063,4267869
-121.939995,38.554459,33.4,63.5,592361.75,4267869
-121.939983,38.554459,38.2,63.2,592363.063,4267869
-121.939971,38.554459,34.5,59,592363.75,4267869
-121.939953,38.554458,33.7,58,592365.063,4267869
-121.939885,38.554458,34.2,58.8,592371.063,4267869
-121.939866,38.554458,30.7,57.2,592373.063,4267869
-121.939857,38.554458,30.8,58.2,592373.688,4267869
-121.939796,38.554459,32.5,60,592379.063,4267869
-121.939766,38.554459,31.8,61.3,592381.688,4267869
-121.939734,38.554459,31.8,59.3,592384.375,4267869
-121.939696,38.554458,33.9,59.5,592387.688,4267869
-121.939593,38.554459,32.7,62.1,592397,4267869
-121.939584,38.554458,33.4,63.7,592397.625,4267869
-121.93957,38.554459,33.2,62.5,592399,4267869
-121.939549,38.554459,34.7,60.1,592400.313,4267869
-121.939526,38.554459,32.8,62.3,592402.313,4267869.5
-121.93951,38.554459,34.4,56.5,592404.313,4267869.5
