Easting,Northing,Yield
592466.812,4271088,99120
592460.875,4271088,24720
592453.562,4271088,52800
592445.562,4271087.5,54000
592437.625,4271088,36240
592428.312,4271088,27600
592424.312,4271088.5,36000
592418.312,4271088.5,29280
592411.688,4271088,68880
592403.688,4271087.5,146880
592397.062,4271088,126960
592392.375,4271088,39360
592384.438,4271088,28560
592379.75,4271088.5,14880
592372.438,4271088,22560
592359.812,4271088,33840
592349.875,4271088.5,64080
592345.875,4271088.5,69600
592335.938,4271088,36960
592326.625,4271088,56640
592321.312,4271088.5,36720
592290.062,4271088.5,87120
592274.75,4271088.5,21360
592260.125,4271088.5,42720
592250.812,4271088.5,47280
592240.875,4271088.5,46320
592232.25,4271088.5,47280
592222.938,4271088.5,37440
592214.312,4271088.5,48240
592203,4271089,47760
592165.125,4271088.5,62880
592137.875,4271089,69360
592134.5,4271089,62160
592130.562,4271089,43200
592125.875,4271088.5,94560
592121.25,4271089,24480
592117.938,4271089,63600
592114.562,4271089,68640
592109.25,4271089,45120
592103.938,4271089.5,48240
592100.625,4271089.5,48480
592089.312,4271089.5,97200
592076.062,4271089.5,39840
592062.75,4271089.5,56400
592049.438,4271090,46560
592040.812,4271090,45600
592036.125,4271090,64080
592031.5,4271089.5,78000
592098.188,4271129.5,58080
592105.5,4271129.5,21600
592109.5,4271129,31920
592112.812,4271129,20400
592116.75,4271129.5,39840
592121.438,4271129.5,36720
592126.062,4271129.5,43200
592130.75,4271129.5,23520
592136.062,4271129.5,39360
592141.375,4271129.5,51600
592145.375,4271129,54960
592151.312,4271129,37680
592157.312,4271129.5,46560
592164.625,4271129.5,44880
592173.938,4271129,54720
592185.875,4271129,50640
592197.875,4271129,38160
592205.875,4271128.5,44880
592211.188,4271128.5,76320
592214.5,4271128.5,65760
592218.5,4271128.5,30240
592221.812,4271128.5,54720
592226.438,4271128,41520
592231.75,4271128,48480
592235.75,4271128,45360
592239.062,4271128,42720
592242.375,4271128,54000
592247.75,4271128,61680
592253.688,4271128,52080
592257,4271128,71760
592261.688,4271128,27120
592269.688,4271127.5,51840
592280.938,4271128,55200
592293.562,4271127.5,68160
592304.25,4271127.5,30240
592312.875,4271127.5,53520
592322.188,4271127.5,59520
592328.125,4271127.5,58080
592332.812,4271127.5,108240
592340.75,4271127,50160
592349.438,4271127.5,51360
592358.75,4271127,70800
592369.375,4271127,69360
592376,4271127,91680
592380.625,4271127,58320
592384.625,4271127.5,83280
592387.938,4271127.5,48240
592391.938,4271127.5,67440
592395.25,4271128,65040
592399.25,4271128,64320
592403.25,4271128,57600
592406.562,4271128,60960
592409.875,4271127.5,66000
592413.188,4271127.5,48960
592419.188,4271127.5,34320
592425.812,4271127.5,74160
592428.5,4271128,85920
592433.125,4271128,34560
592439.125,4271128,61680
592446.438,4271127.5,65520
592453.75,4271127.5,70080
592460.375,4271127.5,62400
592467.062,4271127.5,46560
592473.062,4271127.5,70560
592468.875,4271086,48480
592457.562,4271086,52320
592449.562,4271086,96480
592440.25,4271086,60000
592431.625,4271086.5,47040
592423,4271086,36480
592415.688,4271086,41040
592408.375,4271086,48000
592401.062,4271086.5,61680
592395.062,4271086,61920
592390.438,4271086,70320
592382.438,4271086,34320
592371.812,4271086.5,56640
592365.812,4271086.5,61440
592361.875,4271086.5,63120
592357.188,4271086.5,30240
592352.562,4271086.5,78480
592343.875,4271086.5,116880
592331.938,4271087,47760
592325.312,4271087,80160
592320,4271086.5,69840
592309.375,4271086.5,29760
592298.688,4271087,54720
592290.062,4271087,70320
592280.75,4271087,69600
592274.125,4271087,87360
592266.812,4271087,73200
592257.5,4271087,37920
592248.875,4271087,54000
592239.562,4271087,54960
592230.25,4271087,44880
592220.25,4271087.5,64320
592211,4271087,48240
592201.688,4271087,47760
592189.688,4271087.5,32880
592179.062,4271087,31200
592169.75,4271087,33360
592163.125,4271087,45600
592159.125,4271087.5,62160
592154.5,4271087.5,30960
592140.5,4271087,78000
592131.875,4271087.5,60240
592123.938,4271087.5,60000
592118.562,4271087.5,71520
592115.25,4271087.5,118320
592107.312,4271087.5,100320
592096.688,4271087.5,41040
