Easting,Northing,Yield
592450.4375,4271126,1135
592451.8125,4271126,886
592453.125,4271126,993
592454.4375,4271126,926
592455.125,4271126,1005
592456.4375,4271126,852
592457.75,4271126,982
592459.0625,4271126,660
592460.4375,4271126,350
592461.75,4271125.5,220
592463.0625,4271125.5,209
592116.1875,4271124.5,1624
592119.5,4271124.5,1438
592120.8125,4271124.5,1567
592122.125,4271124.5,1477
592123.5,4271124.5,1325
592124.8125,4271124.5,1060
592126.125,4271124.5,1099
592140.0625,4271125.5,1071
592141.4375,4271125,891
592145.4375,4271125,1099
592146.0625,4271125,1432
592220.5,4271125.5,1274
592221.8125,4271125.5,1460
592223.1875,4271125.5,1336
592225.125,4271125.5,1331
592226.5,4271125.5,1195
592227.8125,4271125.5,1066
592229.125,4271125,1336
592230.5,4271125,1708
592231.8125,4271125,1229
592233.125,4271125,1291
592234.4375,4271125,1861
592235.8125,4271125,1421
592237.125,4271125,806
592239.125,4271125,1054
592240.4375,4271125,1161
592241.125,4271125,1246
592242.4375,4271125,1635
592243.125,4271125,1139
592244.4375,4271125,880
592245.75,4271125,1178
592247.0625,4271125,1291
592248.4375,4271125.5,1223
592249.75,4271125.5,1505
592251.0625,4271125.5,1404
592252.375,4271125.5,1060
592253.75,4271125.5,1235
592255.0625,4271125.5,1336
592256.375,4271125.5,863
592257.75,4271125,1066
592259.0625,4271125,992
592260.375,4271124.5,1263
592261.75,4271124.5,1364
592263.0625,4271124.5,975
592263.6875,4271124.5,1410
592265.0625,4271124.5,1319
592266.375,4271124.5,1342
592269,4271124.5,863
592270.375,4271124.5,1443
592271,4271124.5,1477
592275,4271125,1443
592275.6875,4271125,1195
592279.6875,4271125,1511
592335.5,4271125.5,1207
592338.8125,4271125.5,1054
592033.9375,4271107.5,1087
592127.4375,4271124.5,929
592138.75,4271125.5,1594
592142.75,4271125.5,1295
592144.0625,4271125.5,1284
592147.375,4271125,1278
592149.375,4271125,1459
592150.75,4271125,1481
592168,4271125,1250
592171.3125,4271124.5,1154
592174,4271124.5,1295
592217.875,4271125.5,1537
592219.1875,4271125.5,1785
592272.375,4271125,1290
592273.6875,4271125,1278
592277,4271125,1346
592278.3125,4271125,1368
592281,4271125,1447
592282.3125,4271125,1318
592283.625,4271125,1143
592285,4271125.5,1171
592286.3125,4271125.5,1177
592286.9375,4271125.5,1301
