Easting,Northing,Yield
592195.188,4267782.500,43440
592195.125,4267789.000,67920
592194.875,4267809.500,94320
592194.812,4267815.000,48720
592194.750,4267819.000,79680
592194.688,4267826.500,72000
592194.625,4267830.500,39840
592194.562,4267834.500,29520
592194.500,4267841.500,59040
592194.438,4267848.500,41040
592194.375,4267853.500,75600
592194.250,4267863.500,79440
592091.625,4267829.500,67920
592091.812,4267811.500,54240
592091.312,4267795.500,54960
592091.500,4267781.000,69360
592091.688,4267765.500,59040
592091.875,4267749.000,61440
592092.062,4267733.500,72720
592092.125,4267724.500,85440
592092.188,4267719.000,91200
592092.312,4267711.500,42480
592092.438,4267699.000,34800
592092.625,4267681.000,61920
592092.812,4267664.500,48960
592093.000,4267648.500,72480
592093.125,4267638.500,63120
592093.250,4267629.500,52800
592093.312,4267619.500,73200
592092.750,4267614.500,89280
592092.750,4267611.000,132720
592092.875,4267603.000,53040
592093.000,4267589.500,37440
592093.125,4267581.000,121200
592093.188,4267575.500,187920
592093.312,4267563.000,122880
592093.500,4267550.000,53760
592093.562,4267542.500,92160
592093.625,4267535.500,58800
592093.750,4267529.000,78720
592093.812,4267520.000,95040
592093.938,4267512.000,95280
592094.000,4267506.500,143520
592094.062,4267498.500,77520
592094.125,4267492.000,88560
592094.188,4267486.500,160560
592094.250,4267484.500,88080
592194.562,4267490.500,59520
592194.500,4267497.500,21600
592194.438,4267502.000,23520
592194.375,4267506.000,32640
592194.312,4267511.000,17040
592194.188,4267521.500,24240
592194.000,4267537.500,56640
592193.875,4267550.000,67440
592193.750,4267563.000,68160
592193.562,4267576.000,94560
592193.500,4267585.000,104880
592194.062,4267592.000,64800
592193.938,4267600.000,89040
592193.875,4267608.000,76800
592193.812,4267611.500,113040
592193.812,4267616.000,74400
592193.750,4267620.500,97200
592193.688,4267624.500,122160
592193.625,4267632.500,82560
592193.438,4267645.000,34080
592193.375,4267654.500,81360
592193.312,4267659.500,104160
592193.188,4267667.500,117600
592193.125,4267675.500,66720
592193.000,4267682.000,107520
592192.938,4267687.500,80640
592192.938,4267691.500,179280
592192.812,4267701.500,44880
592192.750,4267706.500,31440
592192.688,4267713.500,28800
592192.562,4267722.000,35280
592192.250,4267747.500,61680
592192.188,4267756.500,77280
592191.938,4267775.500,142080
592191.875,4267783.000,58080
592191.812,4267790.000,88800
592191.562,4267808.500,231600
592192.125,4267819.500,47520
592191.938,4267832.500,69120
592191.875,4267838.000,35760
592183.438,4267706.500,65760
592183.312,4267718.500,45600
592183.125,4267732.000,39600
592183.062,4267740.000,33360
592182.938,4267747.500,36480
592182.938,4267751.500,60240
592182.875,4267755.000,62160
592182.750,4267765.000,66480
592182.688,4267773.500,39120
592182.562,4267781.500,40800
592182.500,4267787.000,61440
592183.000,4267803.000,37680
592182.938,4267809.000,19920
592182.875,4267815.500,36720
592182.812,4267820.500,44880
592182.688,4267830.500,47520
592181.938,4267838.500,35280
592181.750,4267853.000,57120
592181.625,4267861.000,78480
592096.000,4267851.000,58800
592095.500,4267834.500,31200
592095.625,4267823.500,72720
592095.750,4267817.500,72240
592095.812,4267811.000,25440
592095.938,4267798.500,40320
592096.062,4267785.500,58800
592096.188,4267780.000,33360
592096.250,4267773.500,57360
592096.312,4267767.000,72000
592096.375,4267759.500,55920
592096.438,4267753.500,72000
592096.500,4267749.500,103920
592096.562,4267744.500,53760
592096.625,4267738.500,75120
592096.750,4267728.500,93360
592096.875,4267717.000,46560
592096.938,4267711.000,73920
592097.000,4267705.000,96720
592096.438,4267699.000,63120
592096.500,4267690.500,96000
592096.625,4267680.500,71280
592096.750,4267672.000,131760
592097.500,4267663.000,53040
592097.562,4267657.000,66960
592097.625,4267650.500,89040
592097.750,4267642.000,97680
592097.188,4267633.500,64320
592097.250,4267629.000,120000
592097.312,4267622.500,80880
592097.375,4267615.000,25920
592098.125,4267607.000,37680
592098.250,4267600.500,77520
592098.250,4267596.000,118560
592097.625,4267592.000,128640
592097.688,4267588.000,54000
592097.812,4267580.500,66720
592097.875,4267570.500,91200
592098.000,4267563.500,51360
592098.062,4267555.000,50880
592098.875,4267544.000,83760
592098.938,4267536.000,97680
592099.062,4267527.000,152880
592099.250,4267513.000,32880
592099.375,4267498.000,76800
592099.562,4267485.000,72000
592181.750,4267506.000,66000
592181.625,4267517.000,41520
592181.562,4267524.000,31680
592182.125,4267530.000,75840
592182.062,4267537.000,101520
592182.000,4267543.500,70320
592181.938,4267549.000,104160
592181.875,4267554.500,72960
592181.812,4267558.000,111840
592181.750,4267563.000,61680
592181.688,4267567.500,91200
592181.625,4267574.000,117120
592181.562,4267581.000,73680
592181.500,4267587.000,87840
592181.375,4267595.000,94320
592181.312,4267604.000,53520
592181.250,4267609.500,136560
592181.188,4267613.500,122400
592181.125,4267618.000,120240
592181.062,4267623.500,42960
592181.000,4267628.000,87840
592180.938,4267636.000,137520
592180.812,4267644.000,62400
592180.750,4267649.000,86160
592180.688,4267656.000,103440
592180.625,4267662.500,68640
592180.500,4267670.500,120960
592180.438,4267676.000,50880
592180.375,4267681.500,93120
592180.312,4267689.000,77520
592180.188,4267700.500,56400
592180.750,4267711.500,39120
592180.562,4267723.000,31440
592180.438,4267734.000,59280
592180.438,4267738.500,55440
592180.375,4267743.000,33840
592180.188,4267756.000,83760
592180.062,4267771.000,113040
592179.938,4267779.000,33120
592179.875,4267785.500,41040
592179.688,4267803.500,19920
592179.625,4267809.000,27120
592179.562,4267814.000,19920
592179.500,4267819.500,48000
592178.750,4267826.000,149520
592178.688,4267829.500,247680
592178.625,4267836.000,25920
592178.500,4267844.000,36000
592178.438,4267850.500,33360
592177.688,4267858.000,65280
592097.375,4267849.500,67920
592097.438,4267842.500,47040
592097.500,4267835.500,40560
592096.938,4267829.500,85920
592097.000,4267821.500,71280
592097.062,4267814.500,112800
592097.188,4267807.000,70560
592097.250,4267800.500,31440
592097.312,4267794.000,62880
592097.438,4267785.000,72240
592097.500,4267777.500,66240
592097.562,4267772.000,97440
592097.625,4267766.000,96000
592097.688,4267760.500,38880
592097.750,4267755.500,71520
592097.938,4267743.000,104400
592098.062,4267731.500,80880
592098.125,4267727.000,115200
592098.188,4267719.000,84960
592098.250,4267711.000,57120
592098.375,4267705.000,71280
592098.438,4267699.000,99840
592098.500,4267694.500,80160
592098.500,4267689.500,118080
592098.562,4267684.000,53040
592098.625,4267678.000,75600
592098.688,4267672.500,77040
592098.750,4267668.000,113040
592098.875,4267659.000,180240
592099.000,4267649.000,84480
592099.062,4267641.000,96000
592099.188,4267634.000,86160
592099.250,4267627.000,223920
592099.312,4267619.500,94800
592099.438,4267611.500,127440
592099.562,4267601.000,73920
592099.625,4267594.000,61680
592099.688,4267588.000,86880
592099.750,4267581.500,118800
592099.812,4267577.000,83280
592099.875,4267571.500,101280
592099.938,4267567.000,95760
592100.000,4267559.500,196800
592100.125,4267551.000,91680
592100.188,4267545.500,123840
592100.250,4267540.000,95760
592100.312,4267535.500,120000
592100.375,4267528.500,149280
592100.438,4267521.000,115440
592100.500,4267516.500,233520
592100.562,4267511.500,50400
592100.625,4267507.000,93120
592100.688,4267498.500,143280
592100.812,4267490.000,74640
592100.875,4267484.000,100560
592100.875,4267482.500,162480
592181.188,4267499.000,88320
592181.125,4267503.000,147600
592181.000,4267513.000,146400
592180.875,4267524.000,54000
592180.812,4267528.500,68160
592180.750,4267536.000,66240
592180.625,4267546.000,42480
592180.500,4267554.500,64080
592180.438,4267560.000,56880
592180.438,4267564.000,100080
592180.312,4267571.500,168240
592180.250,4267579.500,53280
592180.188,4267584.500,100320
592180.125,4267589.000,93360
592180.062,4267594.500,44400
592180.000,4267599.500,78480
592179.938,4267606.000,145200
592179.875,4267612.500,51120
592179.750,4267620.500,106080
592179.625,4267631.500,98640
592179.562,4267638.500,93120
592179.500,4267642.500,130560
592179.438,4267651.500,114720
592179.312,4267662.000,63600
592179.188,4267670.500,126480
592179.062,4267684.500,39120
592179.500,4267700.500,87600
592179.438,4267709.000,106560
592179.312,4267717.000,113760
592179.188,4267727.000,73200
592179.125,4267734.000,137760
592178.375,4267739.500,108000
592178.312,4267747.500,146880
592178.875,4267756.000,102720
592178.750,4267765.500,228960
592178.562,4267780.500,39600
592178.438,4267795.500,97680
592178.312,4267805.000,107040
592178.250,4267812.500,184560
592178.125,4267823.500,66720
592178.062,4267829.500,101280
592178.000,4267833.000,130320
592177.250,4267838.000,79440
592177.188,4267843.500,115440
592177.125,4267848.500,78480
592177.125,4267853.000,61920
592177.062,4267857.500,96720
592177.000,4267862.500,175680
592326.062,4267851.500,76560
592326.125,4267842.500,85200
592326.312,4267827.500,63120
592326.438,4267818.500,69600
592326.438,4267815.000,150960
592325.875,4267807.500,98160
592326.000,4267800.000,83040
592326.062,4267792.000,213600
592326.188,4267783.500,80640
592326.250,4267776.000,156960
592326.375,4267763.500,37200
592327.188,4267751.500,83280
592327.250,4267745.000,84240
592327.375,4267737.000,115680
592327.438,4267729.500,121680
592327.562,4267718.500,241440
592327.750,4267701.000,66000
592327.938,4267688.000,68640
592327.375,4267681.000,130080
592327.438,4267674.500,125280
592327.562,4267664.000,84720
592328.375,4267648.500,68640
592328.500,4267637.500,138720
592327.938,4267628.000,228240
592328.062,4267618.000,74160
592328.125,4267613.500,143520
592328.188,4267607.500,97920
592328.250,4267601.500,54960
592328.312,4267596.500,76320
592328.375,4267592.000,72960
592328.438,4267584.500,98640
592328.562,4267576.500,89520
592328.625,4267570.500,128640
592328.688,4267563.500,76320
592328.750,4267557.500,83280
592328.812,4267553.000,67200
592328.875,4267546.500,128400
592329.000,4267538.500,82080
592329.062,4267530.500,64080
592329.125,4267524.500,57840
592329.250,4267518.000,68160
592328.625,4267510.500,99120
592328.750,4267504.000,87600
592328.812,4267494.500,90960
592328.938,4267487.000,69120
592340.812,4267491.500,185040
592353.375,4267501.000,87360
592353.250,4267509.000,78960
592353.188,4267515.500,50400
592353.125,4267520.500,41520
592353.062,4267526.000,40560
592353.000,4267532.000,79920
592352.938,4267539.000,87360
592352.875,4267544.000,103200
592352.750,4267552.000,96960
592353.312,4267565.000,41520
592353.188,4267573.000,113280
592353.125,4267581.000,170880
592352.938,4267594.500,67200
592352.875,4267603.000,116160
592352.750,4267609.000,126240
592352.688,4267616.000,114240
592352.625,4267623.500,289200
592352.500,4267632.000,42720
592352.438,4267639.500,106080
592352.312,4267649.000,87120
592352.250,4267655.500,78720
592352.188,4267659.500,136560
592352.125,4267665.000,177600
592352.062,4267673.000,92640
592351.938,4267684.000,79440
592351.812,4267693.500,62400
592351.750,4267698.500,58080
592351.688,4267702.500,121680
592351.625,4267711.000,107520
592351.438,4267724.500,60000
592351.938,4267737.000,83040
592351.875,4267744.500,108000
592351.812,4267750.000,173040
592351.750,4267757.000,56640
592351.688,4267762.500,34800
592351.625,4267769.000,61200
592351.500,4267776.500,98160
592351.438,4267781.000,78480
592351.375,4267788.000,71520
592351.250,4267796.500,96240
592351.188,4267806.500,86160
592351.000,4267821.500,73200
592350.812,4267836.500,74160
592350.688,4267849.000,68400
592350.562,4267860.500,102960
592343.750,4267872.500,125520
592335.750,4267873.500,52320
592333.938,4267858.500,24240
592333.438,4267846.000,92880
592333.500,4267839.500,250560
592334.250,4267832.500,64560
592334.312,4267826.500,100800
592334.375,4267820.000,105360
592334.500,4267809.000,30720
592334.688,4267795.000,49920
592334.750,4267786.500,116400
592334.812,4267782.500,181440
592334.875,4267778.500,102240
592334.938,4267774.000,117840
592335.000,4267765.500,48000
592335.125,4267757.000,70080
592335.125,4267754.000,116400
